"","elev","BD"
"1",279,1.1872
"2",225,1.442408163
"3",321,1.2496875
"4",329,1.325346939
"5",356,1.655724138
"6",327,1.811967213
"7",345,1.721658537
"8",345,1.36424
"9",305,1.39937931
"10",299,1.464193548
"11",265,1.4605
"12",204,1.074666667
"13",249,1.411736842
"14",228,1.67347619
"15",313,1.175684211
"16",298,1.368051282
"17",143,1.569906977
"18",200,1.764461538
"19",483,1.422622951
"20",451,1.599106383
"21",362,1.6026875
"22",348,1.375283019
"23",387,1.671418182
"24",357,1.05572549
"25",495,1.229535714
"26",506,1.337352113
"27",210,1.40187234
"28",437,1.532509091
"29",427,1.948666667
"30",478,1.540470588
"31",443,1.656837209
"32",298,1.600245614
"33",412,1.528341463
"34",440,1.475850746
"35",416,1.682779661
"36",207,1.635269231
"37",201,1.46375
"38",200,1.405136364
"39",260,1.664636364
"40",237,1.746222222
"41",174,1.40706383
"42",131,1.614
"43",322,1.921210526
"44",290,1.520690909
"45",335,2.022941176
"46",206,1.267736842
"47",193,1.422097561
"48",333,1.222689655
"49",358,1.746097561
