,red Mite,mite Gall,bl. Salticid w/red Legs,black Salticid,white Salticid,brn. Crab Spider,red bl. Wh.brn. Salticid,wh.cream bl. Wolf Spider,brn. Salticid,bl. Wh. Salticid,bl.brn.wh. Salticid,Bronze Salticid,grn.wh. Crab Spider,or.bl.wh. Crab Spider,orange Crab Spider,Green Crab Spider
fone1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
fone2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
fone3,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fone4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fone5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fone6,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
fone7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fone8,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0
fone9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
fone10,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
